"Book Title","Author","Year of Publication"
"Remarkably Bright Creatures: A Read with Jenna Pick","Shelby Van Pelt",2024
"My Name Is Barbra","Barbra Streisand",2023
"No Brainer (Diary of a Wimpy Kid Book 18)","Jeff Kinney",2023
"The Great Disappearance: 31 Ways to be Rapture Ready","David Jeremiah",2023
"Fourth Wing (The Empyrean, 1)","Rebecca Yarros",2023
"Unwoke: How to Defeat Cultural Marxism in America","Unknown",2023
"Iron Flame (The Empyrean, 2)","Rebecca Yarros",2023
"Friends, Lovers, and the Big Terrible Thing: A Memoir","Matthew Perry",2023
"The Woman in Me","Britney Spears",2023
"The Exchange: After The Firm (The Firm Series)","John Grisham",2023
